movie_title,imdb_score,profit
"The Incredible Hulk",6.8,-15481610
"Miami Vice",7.5,NULL
"The BFG",6.8,-87207693
"The Revenant",8.1,48635922
Turbo,6.5,-51975100
Rango,7.2,-11792806
"Penguins of Madagascar",6.7,-48651080
"The Bourne Ultimatum",8.1,117137090
"Kung Fu Panda",7.6,85395021
Ant-Man,7.4,50191634
"The Hunger Games: Catching Fire",7.6,294645577
"War of the Worlds",6.5,102277056
"Bad Boys II",6.6,8396624
"Puss in Boots",6.7,19234747
Salt,6.4,8311368
Noah,5.8,-23839471
"The Adventures of Tintin",7.4,-57435963
"Harry Potter and the Prisoner of Azkaban",7.8,119358727
Australia,6.6,-80448338
"After Earth",4.9,-69477903
Dinosaur,6.5,10248063
"Harry Potter and the Deathly Hallows: Part II",7.5,NULL
"Night at the Museum: Secret of the Tomb",6.2,-13266274
Megamind,7.3,18337537
"Harry Potter and the Sorcerer's Stone",7.5,192557891
R.I.P.D.,5.6,-96407585
"Pirates of the Caribbean: The Curse of the Black Pearl",8.1,165388685
"Harry Potter and the Deathly Hallows: Part I",6.4,NULL
"The Hunger Games: Mockingjay - Part 1",6.7,212103873
"The Da Vinci Code",6.6,92536138
"Rio 2",6.4,28536019
"X-Men 2",7.5,104948780
"Fast Five",7.3,84805005
"Sherlock Holmes: A Game of Shadows",7.5,61830669
"Total Recall",7.5,54412921
"The 13th Warrior",6.6,-52305212
"The Bourne Legacy",6.7,-11834365
"Batman & Robin",3.7,-17714996
"How the Grinch Stole Christmas",6,137031035
"The Day After Tomorrow",6.4,61739919
"Mission: Impossible II",6.1,90397307
"The Perfect Storm",6.4,42618434
"Fantastic 4: Rise of the Silver Surfer",5.6,1920333
"Life of Pi",8,4976634
"Ghost Rider",5.2,5802596
"Jason Bourne",7.1,-11478165
"Charlie's Angels: Full Throttle",4.8,-19314120
Prometheus,7,-3535096
"Stuart Little 2",5.4,-55263886
Elysium,6.6,-21949883
"The Chronicles of Riddick",6.7,-47362515
"Speed Racer",6.1,-76070659
"How Do You Know",5.3,-89787380
"Knight and Day",6.3,-40581346
Oblivion,7,-30978265
"Star Wars: Episode III - Revenge of the Sith",7.6,267262555
"Star Wars: Episode II - Attack of the Clones",6.7,195675583
"Monsters, Inc.",8.1,174907418
"The Wolverine",6.7,12550960
"Star Wars: Episode I - The Phantom Menace",6.5,359544677
