movie_title,imdb_score,profit
"Dark Water",5.6,-4527033
Edtv,6.1,-32637500
Inkheart,6.1,-42718168
"The Spirit",4.8,-40218121
Mortdecai,5.5,-52394332
"In the Name of the King: A Dungeon Siege Tale",3.8,-55464883
"Beyond Borders",6.5,-30573703
"Xi you ji zhi: Sun Wukong san da Baigu Jing",6,NULL
"The Great Raid",6.7,-69833498
Deadpool,8.1,305024263
"Holy Man",4.9,-47934015
"American Sniper",7.3,291323553
"Sabrina, the Teenage Witch",6.6,NULL
"Just Like Heaven",6.7,-9708376
"The Flintstones in Viva Rock Vegas",3.6,-24768635
"Rambo III",5.7,-9284389
Leatherheads,6,-26800785
"The Ridiculous 6",4.9,NULL
"Did You Hear About the Morgans?",4.7,-28419913
"The Internship",6.3,-13334037
"Resident Evil: Afterlife",5.9,128566
"Red Tails",5.9,-8124411
"Sex and the City",7,NULL
"The Devil's Advocate",7.5,3984028
"That's My Boy",5.6,-33068911
DragonHeart,6.4,-5682650
"After the Sunset",6.3,-29671868
"Ghost Rider: Spirit of Vengeance",4.3,-5225998
"Captain Corelli's Mandolin",5.9,-31471505
"Anger Management",6.7,NULL
"The Pacifier",5.5,57006880
"Walking Tall",6.2,-10139961
"Forrest Gump",8.8,274691196
"Alvin and the Chipmunks",5.2,157326336
"Meet the Parents",7,111225040
Pocahontas,6.6,86600000
Superman,7.3,79218018
"The Nutty Professor",5.6,74769345
Hitch,6.6,107575142
"George of the Jungle",5.4,50263257
"American Wedding",6.3,49354205
"Captain Phillips",7.9,52100855
"Date Night",6.3,43711404
Casper,6,50328194
"The Equalizer",7.2,46530738
"Maid in Manhattan",5.1,38815117
"Crimson Tide",7.3,38400000
"The Pursuit of Happyness",8,107586036
Flightplan,6.2,34706988
Disclosure,6,28000000
"City of Angels",6.7,23745923
"Kill Bill: Vol. 1",8.1,40098138
Bowfinger,6.4,11365290
"Stargate SG-1",8.4,NULL
"Kill Bill: Vol. 2",8,36207920
"Tango & Cash",6.3,8408614
"Death Becomes Her",6.4,3422650
"Shanghai Noon",6.6,1932305
"Executive Decision",6.4,13750000
"Mr. Popper's Penguins",6,13218041
"The Forbidden Kingdom",6.6,-29959707
"Free Birds",5.9,747724
"Alien 3",6.4,5473600
Evita,6.3,-5005196
Ronin,7.3,-13390407
"The Ghost and the Darkness",6.8,-16446167
Paddington,7.2,21137505
"The Hunted",6,-20761389
Instinct,6.5,-20901437
"Stuck on You",5.8,-21171682
Semi-Pro,5.8,-21527150
"The Pirates! Band of Misfits",6.7,-23948874
Changeling,7.8,-19292673
"Chain Reaction",5.6,-29449288
"The Fan",5.8,-36426209
"The Phantom of the Opera",7.4,-18774204
"Elizabeth: The Golden Age",6.9,-38735525
"on Flux",5.5,-36142013
"Gods and Generals",6.3,-43129431
Turbulence,4.7,-59533912
"Imagine That",5.6,-38911390
"Muppets Most Wanted",6.4,1178893
Thunderbirds,4.2,-50231945
Burlesque,6.4,-15559345
"A Very Long Engagement",7.7,-40832183
"Eye See You",5.3,NULL
"Blade II",6.7,27645152
"Seven Pounds",7.7,14951824
"Bullet to the Head",5.7,-45516179
"The Godfather: Part III",7.6,12676062
Elizabethtown,6.4,-30161611
"You, Me and Dupree",5.6,21604320
"Superman II",6.8,54200000
Gigli,2.4,-48339916
"All the King's Men",6.2,-47778542
Shaft,5.9,24327868
Anastasia,7.1,8297830
"Moulin Rouge!",7.6,4886369
"Domestic Disturbance",5.5,-7792888
"Black Mass",7,9563543
"Flags of Our Fathers",7.1,-56425668
"Law Abiding Citizen",7.4,23343413
Grindhouse,7.6,-27968963
Beloved,5.9,-32156953
"Lucky You",5.9,-49244714
"Catch Me If You Can",8,112435221
"Zero Dark Thirty",7.4,55720716
"The Break-Up",5.8,66683135
"Mamma Mia!",6.3,91704210
"Valentine's Day",5.7,58476776
"The Dukes of Hazzard",5.1,30270227
"The Thin Red Line",7.6,-15614237
"The Change-Up",6.4,-14964155
"Man on the Moon",7.4,-17419365
Casino,8.2,"Quality Anomaly"
"From Paris with Love",6.5,-28675334
"Bulletproof Monk",5.5,-28979512
"Me, Myself & Irene",6.5,39567722
Barnyard,5.6,21601713
"Deck the Halls",4.9,NULL
"The Twilight Saga: New Moon",4.6,246623634
Shrek,7.9,207652016
"The Adjustment Bureau",7.1,12253315
"Robin Hood: Prince of Thieves",6.9,117500000
"Jerry Maguire",7.3,103620822
Ted,7,168628680
"As Good as It Gets",7.7,97637474
"Patch Adams",6.7,85014968
"Anchorman 2: The Legend Continues",6.3,-47824688
"Mr. Deeds",5.8,76203320
"Super 8",7.1,76975169
"Erin Brockovich",7.3,73548685
"How to Lose a Guy in 10 Days",6.4,55807520
"22 Jump Street",7.1,141616238
"Interview with the Vampire: The Vampire Chronicles",7.6,45264608
"Yes Man",6.8,27680195
"Central Intelligence",6.6,76088877
Stepmom,6.7,41030827
"Daddy's Home",6.1,100315155
"Into the Woods",6,77997349
"Inside Man",7.6,43504640
Payback,7.1,31517441
Congo,5,31022333
"We Bought a Zoo",7.1,NULL
Knowing,6.2,29948113
"Failure to Launch",5.6,38658172
"The Ring Two",5.4,NULL
"Crazy, Stupid, Love.",7.4,34244877
Garfield,5,40367693
"Christmas with the Kranks",5.2,13701902
Moneyball,7.6,25605492
Outbreak,6.6,17823573
Non-Stop,7,41439400
"Race to Witch Mountain",5.7,2128202
"V for Vendetta",8.2,16496802
"Shanghai Knights",6.2,10470220
Unforgotten,7.9,NULL
"Curious George",6.6,8336565
"Herbie Fully Loaded",4.7,16002004
"Don't Say a Word",6.3,4997476
"Hansel & Gretel: Witch Hunters",6.1,5682070
Unfaithful,6.7,2752475
"I Am Number Four",6.1,-4907170
"13 Hours",7.4,2822418
"The Book of Life",7.3,150619
Firewall,5.8,-1254850
"Absolute Power",6.7,7168
"G.I. Jane",5.8,-1845268
"The Game",7.8,-1734419
"Silent Hill",6.6,-3017368
"The Replacements",6.5,-5262941
"American Reunion",6.7,6724080
"The Negotiator",7.3,-5515935
"Into the Storm",5.8,-2446488
"Beverly Hills Cop III",5.5,-12390000
"Gremlins 2: The New Batch",6.3,-8517793
"The Judge",7.4,-2894915
"The Peacemaker",5.9,-8743723
"Resident Evil: Apocalypse",6.2,5740078
"Bridget Jones: The Edge of Reason",5.9,203020
"Out of Time",6.5,-9094723
"On Deadly Ground",4.4,-11409500
"The Adventures of Sharkboy and Lavagirl 3-D",3.5,-10822459
"The Beach",6.6,-10221401
"Raising Helen",6,-12513862
"Ninja Assassin",6.4,-1894923
"For Love of the Game",6.5,-14831605
"A Touch of Frost",7.8,NULL
Striptease,4.3,-7200000
Marmaduke,4.2,-16356539
Hereafter,6.5,-17258404
Assassins,6.3,-19693732
"Hannibal Rising",6.2,-22332053
"The Story of Us",5.9,-22932840
"The Host",5.9,-13383001
Basic,6.5,-23463880
"Blood Work",6.4,-23800483
"The International",6.5,-24549473
"Escape from L.A.",5.7,-24592750
Twisted,7.5,NULL
"The Iron Giant",8,"Quality Anomaly"
"The Life Aquatic with Steve Zissou",7.3,-25993274
"Free State of Jones",6.7,-29610033
"The Life of David Gale",7.5,-30406260
"Man of the House",5.4,-20881753
"Run All Night",6.6,-23557749
"Eastern Promises",7.7,-7885118
"Into the Blue",5.8,-31527637
"The Messenger: The Story of Joan of Arc",6.4,-375868702
"Your Highness",5.6,-28342760
"Dream House",6,-33716560
"Mad City",6.2,-39443804
"Baby's Day Out",5.9,-33328495
"The Scarlet Letter",5.1,-39600000
"Fair Game",6.8,-12471908
Defiance,7,NULL
Domino,6,-39862768
Jade,5.1,-40204983
Gamer,5.8,-29511421
"Beautiful Creatures",6.2,-40554783
"Death to Smoochy",6.4,-46644185
"Zoolander 2",4.8,-21162885
"The Big Bounce",4.9,-43528606
"What Planet Are You From?",5.6,-43708398
"Drive Angry",5.5,-39293214
"Street Fighter: The Legend of Chun-Li",3.7,-9257739
"The One",5.9,-5094254
Outlander,8.5,NULL
"The Adventures of Ford Fairlane",6.3,-18586498
"Pirate Radio",7.4,NULL
Traffic,7.6,76107476
"Indiana Jones and the Last Crusade",8.3,149171806
"Anna Karenina",6.6,NULL
Chappie,6.9,-17430732
"The Bone Collector",6.7,18488090
"Panic Room",6.8,47308367
"The Tooth Fairy",4.6,NULL
"Three Kings",7.1,12652036
